restId,itemName,price,calories,photo,createdAt,updatedAt
21,Uniform Linen Charge,861.36,61,http://dummyimage.com/181x100.png/5fa2dd/ffffff,2016-03-10 09:29:22,2022-05-29 07:33:24
17,Wine - Redchard Merritt,258.6,696,http://dummyimage.com/124x100.png/cc0000/ffffff,2014-10-24 19:02:49,2021-10-07 20:29:00
23,Longos - Burritos,602.64,265,http://dummyimage.com/166x100.png/dddddd/000000,2020-11-19 08:10:26,2023-06-05 01:22:52
18,"Beef - Chuck, Boneless",456.43,980,http://dummyimage.com/106x100.png/cc0000/ffffff,2016-05-24 12:21:04,2021-03-22 22:32:26
37,"Chicken - Base, Ultimate",486.68,436,http://dummyimage.com/191x100.png/ff4444/ffffff,2017-09-10 05:40:45,2024-04-24 15:25:02
29,"Nut - Almond, Blanched, Whole",294.55,154,http://dummyimage.com/191x100.png/cc0000/ffffff,2020-07-14 02:28:26,2023-08-11 10:01:06
2,Puree - Guava,341.51,1251,http://dummyimage.com/143x100.png/5fa2dd/ffffff,2014-08-29 22:41:09,2023-04-06 04:48:53
36,Chinese Foods - Thick Noodles,843.43,889,http://dummyimage.com/215x100.png/cc0000/ffffff,2020-10-24 04:39:00,2023-06-25 19:29:16
7,Sausage - Chorizo,127.11,1278,http://dummyimage.com/173x100.png/dddddd/000000,2016-06-08 13:05:37,2021-11-02 11:16:52
40,Pecan Raisin - Tarts,943.67,666,http://dummyimage.com/111x100.png/cc0000/ffffff,2014-11-05 10:06:52,2022-08-12 00:31:33
25,Lamb - Whole Head Off,880.08,1449,http://dummyimage.com/192x100.png/cc0000/ffffff,2014-09-01 14:13:22,2023-08-02 22:21:47
15,Island Oasis - Raspberry,80.62,53,http://dummyimage.com/218x100.png/dddddd/000000,2016-06-29 14:11:11,2021-03-25 19:07:49
30,Spice - Onion Powder Granulated,580.98,1335,http://dummyimage.com/167x100.png/cc0000/ffffff,2016-05-17 13:40:21,2022-04-01 16:59:23
8,Barley - Pearl,714.34,1577,http://dummyimage.com/235x100.png/5fa2dd/ffffff,2015-03-11 10:28:00,2022-11-25 12:19:23
39,"Veal - Leg, Provimi - 50 Lb Max",855.45,1185,http://dummyimage.com/185x100.png/ff4444/ffffff,2019-11-05 04:45:34,2023-08-27 19:43:32
27,"Crab - Blue, Frozen",40.15,981,http://dummyimage.com/144x100.png/5fa2dd/ffffff,2020-01-11 15:45:00,2024-04-28 16:38:05
5,"Tart Shells - Barquettes, Savory",674.48,171,http://dummyimage.com/187x100.png/dddddd/000000,2020-05-18 18:07:10,2021-06-03 11:14:49
28,"Pineapple - Canned, Rings",637.82,554,http://dummyimage.com/100x100.png/cc0000/ffffff,2015-05-01 00:06:05,2021-07-20 18:19:53
9,Compound - Rum,1.54,1252,http://dummyimage.com/123x100.png/ff4444/ffffff,2018-01-20 04:12:30,2022-04-06 19:37:07
35,Calaloo,478.8,894,http://dummyimage.com/144x100.png/ff4444/ffffff,2015-09-01 05:43:47,2022-04-17 00:53:35
38,Juice - Lime,425.35,1679,http://dummyimage.com/171x100.png/cc0000/ffffff,2019-09-07 20:11:52,2021-07-27 08:39:09
3,Wine - Mondavi Coastal Private,293.04,1322,http://dummyimage.com/107x100.png/cc0000/ffffff,2017-12-18 15:05:16,2023-05-23 12:47:14
10,Pickle - Dill,674.88,1406,http://dummyimage.com/248x100.png/cc0000/ffffff,2015-10-31 20:58:15,2022-08-11 13:08:03
32,Table Cloth 53x69 White,119.7,144,http://dummyimage.com/129x100.png/ff4444/ffffff,2016-01-01 18:26:37,2022-04-17 19:40:24
34,Tea - Lemon Scented,631.13,653,http://dummyimage.com/156x100.png/ff4444/ffffff,2018-04-26 22:48:33,2022-04-15 18:33:29
31,Squeeze Bottle,205.78,1227,http://dummyimage.com/174x100.png/cc0000/ffffff,2020-04-14 21:15:19,2022-10-12 07:40:09
16,Soup V8 Roasted Red Pepper,89.2,813,http://dummyimage.com/152x100.png/dddddd/000000,2014-12-20 20:15:51,2022-05-28 04:45:10
26,Island Oasis - Magarita Mix,302.13,1257,http://dummyimage.com/204x100.png/cc0000/ffffff,2020-06-24 21:14:04,2022-08-21 16:10:22
20,Flavouring - Raspberry,962.0,1210,http://dummyimage.com/165x100.png/cc0000/ffffff,2019-01-03 22:20:46,2023-01-08 06:09:37
24,"Juice - Grapefruit, 341 Ml",140.32,1990,http://dummyimage.com/149x100.png/5fa2dd/ffffff,2018-06-11 23:10:47,2022-12-26 03:55:30
6,Chocolate Bar - Coffee Crisp,409.37,1509,http://dummyimage.com/190x100.png/5fa2dd/ffffff,2017-08-25 20:42:19,2024-02-10 15:04:38
32,Cocoa Powder - Dutched,764.39,1919,http://dummyimage.com/244x100.png/dddddd/000000,2019-09-28 09:42:06,2023-10-16 04:50:08
3,Rice - Basmati,300.91,1037,http://dummyimage.com/231x100.png/5fa2dd/ffffff,2014-12-25 19:58:42,2021-07-05 08:52:22
7,"Wine - Red, Antinori Santa",620.38,1655,http://dummyimage.com/235x100.png/dddddd/000000,2018-09-29 11:00:19,2022-09-07 14:58:01
33,Oil - Canola,265.88,638,http://dummyimage.com/117x100.png/cc0000/ffffff,2014-02-26 18:48:03,2023-12-11 07:01:06
6,"Mushroom - Shitake, Fresh",307.42,77,http://dummyimage.com/231x100.png/5fa2dd/ffffff,2016-08-27 19:06:02,2024-07-03 05:58:59
23,Pepper - Red Thai,679.47,991,http://dummyimage.com/152x100.png/dddddd/000000,2015-09-11 13:00:51,2021-06-30 06:43:18
39,Tea - Decaf Lipton,852.79,605,http://dummyimage.com/122x100.png/5fa2dd/ffffff,2017-08-04 04:21:37,2024-07-14 06:22:51
36,Compound - Orange,477.65,1254,http://dummyimage.com/129x100.png/ff4444/ffffff,2015-11-23 12:02:50,2023-01-26 17:30:58
40,Cheese - Bocconcini,622.34,1467,http://dummyimage.com/249x100.png/dddddd/000000,2018-01-22 10:45:25,2022-03-05 18:32:37
5,Veal - Liver,132.43,1330,http://dummyimage.com/210x100.png/dddddd/000000,2014-03-06 02:07:04,2022-11-25 09:54:03
34,Skewers - Bamboo,911.45,1488,http://dummyimage.com/137x100.png/5fa2dd/ffffff,2019-06-14 01:39:11,2022-10-04 16:02:44
22,Chinese Lemon Pork,372.37,1543,http://dummyimage.com/228x100.png/dddddd/000000,2014-04-17 09:00:51,2024-01-02 23:58:04
17,Soup - Campbells Pasta Fagioli,255.09,1428,http://dummyimage.com/141x100.png/dddddd/000000,2016-10-12 19:37:59,2024-03-26 07:39:50
16,Steel Wool S.o.s,453.75,575,http://dummyimage.com/112x100.png/ff4444/ffffff,2019-10-01 18:00:16,2021-06-01 14:17:13
35,Seabream Whole Farmed,561.32,1775,http://dummyimage.com/197x100.png/cc0000/ffffff,2014-06-03 08:43:43,2021-10-25 16:59:16
18,Beer - Corona,184.65,627,http://dummyimage.com/227x100.png/5fa2dd/ffffff,2016-10-16 04:18:55,2023-07-10 11:21:32
28,Sugar - Palm,238.95,360,http://dummyimage.com/221x100.png/dddddd/000000,2014-03-10 13:43:08,2022-06-16 02:38:49
21,Soup V8 Roasted Red Pepper,441.61,90,http://dummyimage.com/118x100.png/dddddd/000000,2018-04-24 21:53:55,2021-07-10 20:14:00
8,"Lemonade - Mandarin, 591 Ml",582.39,875,http://dummyimage.com/159x100.png/5fa2dd/ffffff,2020-02-08 13:33:18,2023-08-12 18:53:39
10,Bread - Mini Hamburger Bun,475.43,1333,http://dummyimage.com/245x100.png/dddddd/000000,2014-07-14 18:35:20,2024-03-06 05:12:16
12,"Soup - Beef Conomme, Dry",572.89,1674,http://dummyimage.com/211x100.png/5fa2dd/ffffff,2018-04-10 21:14:25,2021-11-23 01:43:46
11,Wine - Cave Springs Dry Riesling,437.27,719,http://dummyimage.com/104x100.png/ff4444/ffffff,2018-05-17 09:03:26,2023-01-30 23:13:00
15,Oil - Cooking Spray,168.1,1743,http://dummyimage.com/149x100.png/cc0000/ffffff,2019-10-01 00:27:27,2023-08-07 16:23:33
30,"Iced Tea - Lemon, 340ml",844.98,644,http://dummyimage.com/250x100.png/cc0000/ffffff,2017-04-30 04:50:57,2023-05-08 07:00:53
29,Flower - Carnations,71.73,578,http://dummyimage.com/173x100.png/5fa2dd/ffffff,2016-05-13 04:04:46,2023-05-11 20:25:56
2,"Wine - Mas Chicet Rose, Vintage",438.97,668,http://dummyimage.com/188x100.png/dddddd/000000,2018-11-14 03:11:16,2021-07-01 15:25:33
13,Flower - Carnations,322.87,1400,http://dummyimage.com/159x100.png/cc0000/ffffff,2014-04-17 10:53:04,2023-02-11 22:54:08
1,Muffin Mix - Lemon Cranberry,874.28,1811,http://dummyimage.com/195x100.png/dddddd/000000,2018-02-17 05:38:12,2024-04-21 22:20:06
19,Pepper - Scotch Bonnet,587.37,1112,http://dummyimage.com/120x100.png/ff4444/ffffff,2018-06-17 16:06:27,2023-08-30 23:14:37
38,"Ice - Clear, 300 Lb For Carving",266.19,1474,http://dummyimage.com/106x100.png/ff4444/ffffff,2014-03-12 16:41:28,2021-04-06 09:27:16
9,Cheese Cloth No 60,978.73,386,http://dummyimage.com/103x100.png/5fa2dd/ffffff,2017-07-21 04:33:14,2023-07-12 02:52:05
6,"Rum - Cream, Amarula",583.1,1268,http://dummyimage.com/242x100.png/cc0000/ffffff,2015-08-30 18:40:32,2021-07-28 12:47:58
9,"Nut - Almond, Blanched, Whole",802.21,629,http://dummyimage.com/197x100.png/ff4444/ffffff,2020-09-11 12:39:15,2024-03-22 14:29:27
28,Lid - 0090 Clear,287.85,1043,http://dummyimage.com/129x100.png/ff4444/ffffff,2014-11-29 04:02:08,2022-09-11 05:02:04
21,Soup - French Can Pea,148.3,363,http://dummyimage.com/155x100.png/5fa2dd/ffffff,2019-08-28 09:30:28,2021-12-16 07:48:00
16,"Juice - Pineapple, 48 Oz",126.97,1994,http://dummyimage.com/209x100.png/5fa2dd/ffffff,2018-05-22 19:42:49,2021-02-04 02:30:59
23,Soho Lychee Liqueur,70.37,371,http://dummyimage.com/220x100.png/dddddd/000000,2014-09-30 16:22:33,2021-12-03 20:56:28
17,Bread - Calabrese Baguette,385.11,1421,http://dummyimage.com/152x100.png/dddddd/000000,2019-10-16 11:33:44,2022-12-09 06:48:06
11,Tray - 16in Rnd Blk,437.69,1088,http://dummyimage.com/212x100.png/5fa2dd/ffffff,2016-12-23 01:08:16,2021-02-13 08:12:38
10,"Pineapple - Canned, Rings",131.33,336,http://dummyimage.com/236x100.png/ff4444/ffffff,2019-08-28 07:33:48,2023-01-13 22:47:45
2,Island Oasis - Ice Cream Mix,783.88,987,http://dummyimage.com/140x100.png/dddddd/000000,2015-11-14 00:08:28,2023-08-29 06:28:43
36,Spinach - Frozen,378.26,1463,http://dummyimage.com/214x100.png/ff4444/ffffff,2015-07-24 14:01:23,2024-08-12 23:54:16
4,Tobasco Sauce,754.54,1101,http://dummyimage.com/163x100.png/dddddd/000000,2014-02-28 13:15:43,2022-06-11 20:25:32
15,Flour - Bread,989.22,1720,http://dummyimage.com/171x100.png/cc0000/ffffff,2019-04-18 21:20:04,2022-02-02 01:12:35
24,"Ice - Clear, 300 Lb For Carving",428.36,1657,http://dummyimage.com/195x100.png/cc0000/ffffff,2014-06-09 21:46:51,2023-03-04 20:15:33
22,Browning Caramel Glace,949.59,441,http://dummyimage.com/209x100.png/dddddd/000000,2015-10-13 00:05:50,2022-07-01 09:49:35
19,Cheese Cloth,363.91,101,http://dummyimage.com/180x100.png/dddddd/000000,2015-08-16 22:41:22,2021-10-25 21:17:47
31,Okra,291.82,1068,http://dummyimage.com/214x100.png/dddddd/000000,2016-04-30 13:52:47,2024-02-29 13:06:12
38,Sesame Seed,648.54,1922,http://dummyimage.com/154x100.png/ff4444/ffffff,2020-08-06 07:44:19,2023-11-18 04:21:27
7,Wine - Bouchard La Vignee Pinot,358.81,6,http://dummyimage.com/181x100.png/5fa2dd/ffffff,2019-08-30 20:39:14,2021-08-23 00:17:58
18,Wine - Puligny Montrachet A.,955.43,1740,http://dummyimage.com/188x100.png/ff4444/ffffff,2016-08-15 17:17:07,2022-04-25 23:46:46
27,Veal - Eye Of Round,70.34,549,http://dummyimage.com/166x100.png/dddddd/000000,2018-09-17 07:18:41,2022-07-09 12:52:48
34,Apple - Northern Spy,227.59,984,http://dummyimage.com/250x100.png/ff4444/ffffff,2014-08-03 09:19:21,2024-02-11 14:12:30
25,Crab - Meat Combo,504.02,1943,http://dummyimage.com/197x100.png/5fa2dd/ffffff,2016-03-23 11:35:10,2022-03-11 05:40:30
30,"Wine - Red, Antinori Santa",205.17,1621,http://dummyimage.com/158x100.png/5fa2dd/ffffff,2018-10-15 22:39:50,2022-11-10 13:32:20
37,"Soup - Campbells, Butternut",382.68,784,http://dummyimage.com/205x100.png/dddddd/000000,2017-07-16 03:53:32,2024-02-17 02:22:15
8,Sauce - Hp,691.72,1849,http://dummyimage.com/167x100.png/ff4444/ffffff,2014-05-01 11:17:31,2021-05-26 16:10:56
29,Wine - Segura Viudas Aria Brut,356.23,732,http://dummyimage.com/167x100.png/ff4444/ffffff,2018-03-20 08:32:03,2024-02-22 17:47:51
14,Containter - 3oz Microwave Rect.,145.13,1647,http://dummyimage.com/189x100.png/ff4444/ffffff,2015-01-07 13:15:59,2023-10-27 18:37:45
5,Poppy Seed,655.43,1815,http://dummyimage.com/208x100.png/dddddd/000000,2014-11-27 16:13:55,2021-06-03 12:52:32
26,Pie Pecan,639.47,1772,http://dummyimage.com/196x100.png/ff4444/ffffff,2018-09-21 10:35:28,2022-09-20 09:34:15
13,Pate - Cognac,698.79,1647,http://dummyimage.com/130x100.png/5fa2dd/ffffff,2020-04-07 05:17:58,2023-03-01 10:42:05
20,Milkettes - 2%,806.1,145,http://dummyimage.com/114x100.png/dddddd/000000,2019-12-29 18:04:28,2024-01-23 07:12:03
17,"Oil - Shortening,liqud, Fry",568.7,678,http://dummyimage.com/119x100.png/dddddd/000000,2016-02-19 14:40:39,2022-03-15 06:30:50
13,Chips - Doritos,702.7,1292,http://dummyimage.com/173x100.png/dddddd/000000,2015-06-25 03:08:59,2022-07-12 11:23:45
23,"Pesto - Primerba, Paste",868.57,37,http://dummyimage.com/244x100.png/dddddd/000000,2018-09-25 21:59:26,2023-01-29 08:26:38
29,"Pasta - Rotini, Dry",247.15,632,http://dummyimage.com/198x100.png/cc0000/ffffff,2019-08-26 23:37:28,2023-09-29 01:04:25
3,Cheese - Gouda,685.69,1288,http://dummyimage.com/243x100.png/dddddd/000000,2016-05-17 18:58:36,2024-06-02 09:05:54
16,Straws - Cocktale,34.4,1205,http://dummyimage.com/180x100.png/5fa2dd/ffffff,2019-12-02 14:41:07,2023-11-25 10:03:37
35,Towels - Paper / Kraft,873.32,1168,http://dummyimage.com/201x100.png/dddddd/000000,2016-07-01 12:20:58,2022-09-08 10:48:39
25,Salt And Pepper Mix - Black,706.25,716,http://dummyimage.com/134x100.png/dddddd/000000,2019-10-18 10:05:59,2023-03-19 19:51:18
18,Crackers - Melba Toast,63.88,1254,http://dummyimage.com/101x100.png/ff4444/ffffff,2020-11-15 23:31:58,2024-06-06 06:26:04
39,Veal - Leg,119.03,640,http://dummyimage.com/178x100.png/5fa2dd/ffffff,2020-03-04 08:46:02,2023-08-22 07:10:21
26,Eggs - Extra Large,617.8,1192,http://dummyimage.com/182x100.png/cc0000/ffffff,2014-02-28 12:13:40,2021-12-23 18:04:51
32,Syrup - Pancake,984.15,911,http://dummyimage.com/130x100.png/dddddd/000000,2020-06-08 10:42:48,2021-02-05 22:44:25
21,Beef - Rib Eye Aaa,997.82,69,http://dummyimage.com/121x100.png/ff4444/ffffff,2016-01-09 13:36:50,2021-04-06 11:57:26
40,Teriyaki Sauce,230.29,782,http://dummyimage.com/177x100.png/dddddd/000000,2020-01-25 05:23:40,2023-08-20 08:33:38
7,Sobe - Liz Blizz,98.96,157,http://dummyimage.com/119x100.png/dddddd/000000,2018-03-23 14:13:41,2024-07-16 23:22:42
14,Dip - Tapenade,872.96,803,http://dummyimage.com/219x100.png/dddddd/000000,2016-11-20 12:38:56,2023-10-19 02:33:27
1,Flower - Carnations,5.06,850,http://dummyimage.com/177x100.png/dddddd/000000,2015-06-03 08:42:05,2022-03-10 04:33:50
31,Sauce Bbq Smokey,356.44,1363,http://dummyimage.com/248x100.png/cc0000/ffffff,2015-11-27 20:33:07,2023-10-28 11:38:47
38,Nut - Macadamia,15.83,1699,http://dummyimage.com/216x100.png/ff4444/ffffff,2019-03-06 06:06:12,2022-04-11 14:31:18
11,Puree - Kiwi,473.7,184,http://dummyimage.com/140x100.png/ff4444/ffffff,2019-12-13 09:00:53,2024-07-21 18:43:38
19,"Chicken - White Meat, No Tender",49.15,907,http://dummyimage.com/132x100.png/cc0000/ffffff,2019-03-08 16:07:52,2022-09-07 23:43:10
6,Wine - Cabernet Sauvignon,167.02,130,http://dummyimage.com/151x100.png/5fa2dd/ffffff,2020-08-26 22:27:49,2022-03-28 00:43:55
30,Ice Cream - Fudge Bars,367.97,308,http://dummyimage.com/228x100.png/5fa2dd/ffffff,2017-10-20 05:35:37,2024-07-24 09:49:45
15,Nantucket - Kiwi Berry Cktl.,638.07,1401,http://dummyimage.com/238x100.png/5fa2dd/ffffff,2017-12-06 17:01:37,2024-05-08 15:33:35
5,"Flour - Corn, Fine",620.01,1470,http://dummyimage.com/186x100.png/ff4444/ffffff,2017-04-28 06:26:21,2023-12-29 16:50:59
8,"Octopus - Baby, Cleaned",360.72,12,http://dummyimage.com/120x100.png/dddddd/000000,2020-03-07 00:32:28,2024-02-20 11:17:04
33,Latex Rubber Gloves Size 9,604.15,1278,http://dummyimage.com/214x100.png/dddddd/000000,2019-11-24 11:52:03,2023-07-15 08:01:28
12,Wine - German Riesling,738.25,304,http://dummyimage.com/230x100.png/ff4444/ffffff,2016-05-22 14:32:18,2023-07-29 03:45:04
22,Mace,43.99,1702,http://dummyimage.com/158x100.png/5fa2dd/ffffff,2016-05-17 18:04:39,2023-01-10 07:34:09
37,Wine - Magnotta - Cab Sauv,285.35,346,http://dummyimage.com/152x100.png/5fa2dd/ffffff,2019-11-09 07:38:53,2021-05-25 04:38:46
36,Pastry - Key Limepoppy Seed Tea,927.33,836,http://dummyimage.com/164x100.png/dddddd/000000,2020-11-06 12:51:44,2022-03-22 16:59:21
34,Veal - Insides Provini,460.85,35,http://dummyimage.com/167x100.png/ff4444/ffffff,2019-12-05 00:19:27,2021-10-26 17:21:30
16,Beef - Diced,164.43,1830,http://dummyimage.com/154x100.png/5fa2dd/ffffff,2018-12-16 11:23:17,2022-12-03 12:22:31
4,"Seedlings - Buckwheat, Organic",859.5,42,http://dummyimage.com/202x100.png/ff4444/ffffff,2019-06-14 07:19:07,2023-12-19 10:15:00
7,"Pasta - Detalini, White, Fresh",223.31,1321,http://dummyimage.com/155x100.png/cc0000/ffffff,2016-12-16 19:51:07,2022-04-19 22:26:13
31,Steel Wool,108.21,524,http://dummyimage.com/109x100.png/dddddd/000000,2020-04-29 05:17:54,2023-05-17 02:12:42
3,Longos - Grilled Salmon With Bbq,472.71,1262,http://dummyimage.com/192x100.png/5fa2dd/ffffff,2016-08-25 17:06:15,2021-04-04 18:24:15
11,Strawberries - California,889.52,1608,http://dummyimage.com/176x100.png/5fa2dd/ffffff,2014-08-16 05:41:09,2022-07-28 15:09:00
38,Veal - Kidney,98.94,1159,http://dummyimage.com/212x100.png/cc0000/ffffff,2014-03-19 11:33:04,2021-09-11 02:08:48
30,Compound - Mocha,395.09,1919,http://dummyimage.com/239x100.png/5fa2dd/ffffff,2017-10-26 09:32:53,2021-12-14 14:08:39
33,Zucchini - Yellow,926.22,818,http://dummyimage.com/248x100.png/ff4444/ffffff,2016-10-13 07:00:06,2024-03-07 09:11:57
37,Corn - On The Cob,133.4,418,http://dummyimage.com/153x100.png/5fa2dd/ffffff,2014-07-02 00:00:37,2023-11-03 01:55:33
28,Persimmons,201.52,338,http://dummyimage.com/220x100.png/dddddd/000000,2015-10-12 06:30:06,2022-08-29 20:14:19
8,Banana - Leaves,570.29,589,http://dummyimage.com/110x100.png/dddddd/000000,2015-02-24 01:37:21,2022-01-10 18:21:05
14,"Sole - Dover, Whole, Fresh",625.96,219,http://dummyimage.com/106x100.png/5fa2dd/ffffff,2019-12-19 03:31:40,2021-04-28 20:04:19
21,Beer - Upper Canada Lager,128.34,668,http://dummyimage.com/102x100.png/dddddd/000000,2016-04-13 18:44:16,2022-12-21 18:10:44
12,Chips - Miss Vickies,270.97,1357,http://dummyimage.com/217x100.png/dddddd/000000,2018-11-13 12:26:09,2022-09-14 18:10:19
29,Beef - Striploin,41.47,1529,http://dummyimage.com/189x100.png/ff4444/ffffff,2016-08-09 17:08:55,2024-05-26 07:02:50
10,Wine - Pinot Noir Pond Haddock,338.69,1782,http://dummyimage.com/211x100.png/cc0000/ffffff,2020-06-29 20:23:53,2022-10-01 07:20:53
9,"Wine - Magnotta, Merlot Sr Vqa",64.59,1453,http://dummyimage.com/137x100.png/5fa2dd/ffffff,2015-11-07 07:24:57,2024-01-26 21:32:48
26,Gelatine Powder,91.82,1314,http://dummyimage.com/192x100.png/dddddd/000000,2020-12-18 10:00:45,2022-07-14 23:06:19
18,Shrimp - Black Tiger 6 - 8,777.68,37,http://dummyimage.com/223x100.png/ff4444/ffffff,2017-10-04 21:23:56,2022-07-30 08:24:27
13,Foil Cont Round,407.04,1747,http://dummyimage.com/107x100.png/ff4444/ffffff,2017-03-08 00:04:03,2022-11-27 18:35:35
27,Paper - Brown Paper Mini Cups,731.33,1679,http://dummyimage.com/205x100.png/ff4444/ffffff,2018-09-12 15:14:24,2022-09-07 02:26:51
17,"Pasta - Lasagna Noodle, Frozen",720.91,1843,http://dummyimage.com/204x100.png/ff4444/ffffff,2016-08-21 23:45:09,2021-08-12 23:55:09
24,Arrowroot,286.31,1150,http://dummyimage.com/192x100.png/5fa2dd/ffffff,2019-09-13 15:39:26,2023-01-27 14:44:30
