restId,itemName,price,calories,photo,createdAt,lastUpdated
32,"Soup - Campbells, Chix Gumbo",161.88,1695,http://dummyimage.com/205x100.png/cc0000/ffffff,2015-12-31 06:34:48,2022-04-29 13:47:08
30,Sorrel - Fresh,691.91,1442,http://dummyimage.com/130x100.png/ff4444/ffffff,2020-05-24 17:30:18,2021-11-14 22:14:08
22,Water Chestnut - Canned,930.31,1037,http://dummyimage.com/218x100.png/dddddd/000000,2014-01-23 16:27:41,2023-06-02 06:19:51
19,Bouillion - Fish,123.77,900,http://dummyimage.com/147x100.png/ff4444/ffffff,2016-01-29 20:32:26,2024-07-24 09:20:46
36,Wine - Saint Emilion Calvet,114.57,892,http://dummyimage.com/107x100.png/cc0000/ffffff,2015-10-31 04:07:28,2021-04-02 07:33:06
25,"Syrup - Monin, Amaretta",112.59,1766,http://dummyimage.com/125x100.png/cc0000/ffffff,2019-05-01 14:43:51,2024-06-28 08:47:03
17,Banana Turning,757.53,1465,http://dummyimage.com/188x100.png/ff4444/ffffff,2014-04-18 20:28:50,2021-10-27 14:37:37
10,"Wine - Saint - Bris 2002, Sauv",629.08,1776,http://dummyimage.com/245x100.png/dddddd/000000,2018-03-13 04:50:44,2024-05-11 13:05:11
39,"Croissant, Raw - Mini",880.33,1985,http://dummyimage.com/205x100.png/cc0000/ffffff,2019-01-17 04:14:12,2022-10-12 20:06:00
31,Curry Powder Madras,605.67,623,http://dummyimage.com/247x100.png/ff4444/ffffff,2016-08-16 05:51:33,2023-07-01 02:30:32
3,Basil - Fresh,330.72,1619,http://dummyimage.com/224x100.png/5fa2dd/ffffff,2016-12-23 18:45:14,2022-07-01 23:01:37
33,Pastry - Baked Scones - Mini,741.22,1064,http://dummyimage.com/216x100.png/ff4444/ffffff,2018-05-14 19:44:51,2023-02-07 14:06:27
6,Bread Fig And Almond,704.6,833,http://dummyimage.com/156x100.png/ff4444/ffffff,2015-03-28 22:09:15,2021-03-13 08:27:45
1,"Beans - Turtle, Black, Dry",251.81,832,http://dummyimage.com/130x100.png/dddddd/000000,2018-11-03 19:30:13,2021-11-27 00:04:54
