reviewId,rating,text,authorId,restId,photo,timePosted,updatedAt
1,0.8,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",31,2,http://dummyimage.com/150x134.png/ff4444/ffffff,2016-09-04 22:14:23,2022-03-22 13:21:20
2,1.0,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",39,18,,2016-02-06 15:33:16,2023-09-05 13:54:16
3,1.8,,1,21,http://dummyimage.com/177x232.png/5fa2dd/ffffff,2019-09-10 20:47:51,2022-07-12 06:23:00
4,4.5,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",10,19,http://dummyimage.com/137x191.png/5fa2dd/ffffff,2020-08-13 21:15:32,2024-03-16 08:57:32
5,4.8,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",23,37,http://dummyimage.com/239x215.png/dddddd/000000,2016-10-11 20:38:00,2021-01-06 13:30:48
6,3.2,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",15,18,http://dummyimage.com/154x244.png/5fa2dd/ffffff,2016-12-22 10:01:52,2021-11-08 22:25:11
7,0.4,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",35,28,http://dummyimage.com/165x184.png/cc0000/ffffff,2018-05-29 19:20:05,2022-05-15 12:02:28
8,0.5,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",12,5,http://dummyimage.com/227x164.png/ff4444/ffffff,2015-12-10 00:25:34,2024-05-08 11:27:18
9,3.6,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",16,33,http://dummyimage.com/166x218.png/5fa2dd/ffffff,2018-07-14 15:33:25,2022-03-07 11:39:28
10,1.9,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",24,37,http://dummyimage.com/126x207.png/5fa2dd/ffffff,2019-05-29 06:05:00,2022-12-14 17:52:25
